YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,PRECTOTCORR,RH2M,QV2M,PS,WS2M,WS10M,WD2M,WD10M
2023,4,29,14,1.27,2.72,3.96,158,314.95,20.13,0.55,2.83,4.96,-1.6,1.68,0.54,63.88,5.55,62.39,6.21,11.82169096,216.67,216.7
2023,5,9,12,3.17,3.87,4.71,402.25,463.95,58.24,2.13,11.5,7.86,-8.5,-0.32,0,30.19,3.17,62.39,6.29,11.97398327,232.72,232.86
2023,4,21,17,0.37,0.61,1.24,44.08,68.38,5.61,0.04,0.23,1.59,-3.45,-0.93,0.15,70.31,4.82,62.15,6.02,11.45999671,223.26,223.51
2023,5,19,13,2.32,3.35,4.5,289.67,401.38,39.73,1.38,7.2,9.03,0.61,4.82,0.06,57.19,6.59,62.39,6.24,11.87880058,224.85,224.88
2023,3,20,12,1.55,3.55,4.36,216.67,437.88,34,1.05,5.33,0.99,-2.68,-0.85,0.28,78.5,5.19,61.78,6.03,11.47903325,214.12,214.26
2023,4,4,16,0.78,1.36,2.17,93.45,158.42,12.52,0.2,0.95,1.4,-3.67,-1.14,0.17,70,4.76,62.13,6.11,11.63132557,227.8,227.99
2023,5,3,15,1,2.27,3.26,131.42,269.23,18.62,0.46,2.33,5.13,-0.14,2.5,0,70.56,6.23,62.4,6.16,11.72650826,217.38,217.46
2023,5,4,12,0.71,3.84,4.7,109.52,474.12,17.77,0.66,3.48,6.06,-0.4,2.83,1.65,65.31,6.16,62.43,6.23,11.85976404,220.22,220.19
2023,5,14,14,2.03,2.96,4.01,259.25,359.45,35.72,1.11,5.65,9.27,0.47,4.87,0.08,55.62,6.53,62.3,6.17,11.7455448,225.05,225
2023,5,26,13,2.14,3.6,4.5,282.42,439.88,41.74,1.59,8.05,8.58,0.9,4.73,0.1,60.5,6.77,62.43,6.2,11.80265442,220.81,220.82
2023,4,4,11,3.09,3.57,4.45,383.75,430.8,55.04,1.82,9.35,4.23,-5.21,-0.49,0.05,50.62,4.21,62.27,6.19,11.78361788,234.08,234.08
2023,5,4,14,0.77,3.11,3.98,109.92,379.95,17.52,0.59,3,5.22,0.03,2.62,0.77,71.44,6.35,62.36,6.15,11.70747172,218.97,218.97
2023,5,10,11,3.42,3.9,4.66,421.1,462.33,60.98,2.2,11.75,6.47,-10.86,-2.2,0,27.25,2.62,62.4,6.23,11.85976404,220.06,220.1
2023,4,27,14,1.08,2.67,3.96,136.73,298.38,17.29,0.48,2.45,4.39,-2.96,0.72,0.02,59.31,4.94,62.4,6.11,11.63132557,217.51,217.62
2023,4,30,13,0.63,2.97,4.46,90.17,344.83,12.37,0.36,1.77,4.23,-0.78,1.73,0.54,71.44,5.92,62.24,6.08,11.57421595,218.74,218.89
