YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2022,4,2,15,0.79,1.68,3.08,91.45,184.35,10.95,0.25,1.25,15.53,7.01,11.26,8.73,58,0.13,73.28,3.63,204.96,4.67,205.06
2022,4,2,16,0.47,0.98,2.15,53.25,105.7,6.45,0.1,0.5,14.36,6.97,10.66,8.73,62.5,0.15,73.27,3.22,206.81,4.22,206.75
2022,4,2,17,0.2,0.36,1.09,22.48,38.3,2.62,0.02,0.08,12.61,7.43,10.01,9.09,72.81,0.14,73.29,2.18,207.94,3.02,207.3
2022,4,2,18,0.02,0.02,0.12,1.5,2.5,0.19,0,0,10.05,7.69,8.87,9.34,88.5,0.78,73.32,0.91,203.91,1.76,202.7
2022,4,2,19,0,0,0,0,0,0,0,0,9.8,7.22,8.51,8.97,87,0.7,73.37,0.78,208.11,1.32,207.17
2022,4,2,20,0,0,0,0,0,0,0,0,9.26,6.62,7.94,8.67,86.81,0.59,73.42,0.55,218.66,0.94,221.28
2022,4,2,21,0,0,0,0,0,0,0,0,8.77,6.26,7.51,8.42,87.81,0.56,73.44,0.47,246.43,0.8,248.92
2022,4,2,22,0,0,0,0,0,0,0,0,8.15,5.84,7,8.24,89.19,0.6,73.42,0.54,286.06,0.92,283.32
2022,4,2,23,0,0,0,0,0,0,0,0,7.4,5.48,6.44,8.06,91.94,0.53,73.39,0.65,305.22,1.12,302.13
2022,4,3,0,0,0,0,0,0,0,0,0,6.77,4.91,5.84,7.75,92.56,0.38,73.34,0.79,317.8,1.35,315.7
2022,4,3,1,0,0,0,0,0,0,0,0,6.25,4.21,5.23,7.45,91.5,0.24,73.29,0.86,330.19,1.53,328.18
2022,4,3,2,0,0,0,0,0,0,0,0,6,3.46,4.73,7.08,88.62,0.16,73.24,0.89,341.09,1.56,338.57
2022,4,3,3,0,0,0,0,0,0,0,0,5.91,2.77,4.34,6.77,85.25,0.13,73.21,0.92,345.73,1.59,343.44
2022,4,3,4,0,0,0,0,0,0,0,0,5.92,2.15,4.04,6.47,81.75,0.1,73.2,0.92,347.26,1.58,344.79
2022,4,3,5,0,0,0,0,0,0,0,0,5.94,1.68,3.8,6.29,78.88,0.11,73.22,0.9,345.36,1.52,342.96
2022,4,3,6,0.1,0.1,0.45,9.58,11.5,1.18,0,0.02,6.78,2.38,4.58,6.59,78.06,0.14,73.27,0.85,341.9,1.41,340.86
2022,4,3,7,0.56,0.63,1.55,59.45,67.6,7.22,0.06,0.33,9.83,3.79,6.81,7.39,71.5,0.15,73.32,0.92,295.05,1.21,296.07
2022,4,3,8,1.15,1.38,2.57,125.48,150.65,14.91,0.26,1.25,11.98,4.15,8.06,7.63,63.75,0.32,73.36,2.06,240.04,2.63,240.32
2022,4,3,9,1.74,2.15,3.42,194.62,240.5,23.8,0.56,2.88,13.77,4.78,9.28,7.93,59.19,0.28,73.37,2.99,227.43,3.83,227.56
2022,4,3,10,1.9,2.69,4.06,225.05,307.2,28.58,0.81,4.1,15.12,5.48,10.3,8.3,56.56,0.18,73.35,3.8,224,4.85,224.09
2022,4,3,11,2.5,3.07,4.44,294.38,354.15,37.37,1.16,5.83,15.88,6.25,11.07,8.67,56.38,0.2,73.31,4.36,223.98,5.6,224.04
2022,4,3,12,1.95,2.7,4.52,221.7,295.75,25.09,0.76,3.8,16.1,7.1,11.6,9.09,58.25,0.29,73.25,4.67,225.88,6.01,225.9
2022,4,3,13,1.74,2.52,4.31,194.9,275.05,22.45,0.65,3.25,15.91,7.78,11.84,9.46,61.25,0.52,73.16,4.77,229.85,6.16,229.78
