YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2022,4,2,15,1.25,1.78,3.12,136.95,189,16.91,0.38,1.9,16.59,4.32,10.45,7.26,44.62,0.12,72.61,4.05,222.34,5.11,222.4
2022,4,2,16,0.77,1.07,2.21,81.23,110.98,10.08,0.16,0.75,15.39,4.43,9.91,7.32,48.56,0.12,72.59,3.58,221.2,4.56,221.32
2022,4,2,17,0.39,0.43,1.16,39.62,44.65,5.13,0.03,0.15,13.58,4.69,9.13,7.45,55.81,0.09,72.61,2.75,218.89,3.62,219.05
2022,4,2,18,0.04,0.04,0.17,3.45,3.67,0.47,0,0,10.78,5.38,8.08,7.87,70.88,0.07,72.64,1.2,213.07,1.94,213.69
2022,4,2,19,0,0,0,0,0,0,0,0,10.07,4.93,7.5,7.63,72,0.05,72.69,0.84,210.87,1.29,211.38
2022,4,2,20,0,0,0,0,0,0,0,0,9.82,4.66,7.24,7.51,72,0.03,72.74,0.4,214.62,0.63,214.47
2022,4,2,21,0,0,0,0,0,0,0,0,9.08,4.6,6.84,7.51,75.56,0.03,72.76,0.01,45,0.03,270
2022,4,2,22,0,0,0,0,0,0,0,0,8.27,4.44,6.35,7.45,79.06,0.03,72.76,0.26,18.97,0.42,16.39
2022,4,2,23,0,0,0,0,0,0,0,0,7.61,4.17,5.89,7.26,81.25,0.04,72.73,0.41,20.17,0.7,20.26
2022,4,3,0,0,0,0,0,0,0,0,0,7.19,3.87,5.52,7.14,81.81,0.03,72.69,0.51,17.88,0.88,19.08
2022,4,3,1,0,0,0,0,0,0,0,0,6.87,3.48,5.18,6.96,81.25,0.02,72.63,0.62,10.89,1.05,11.98
2022,4,3,2,0,0,0,0,0,0,0,0,6.58,3.04,4.81,6.71,80.19,0.01,72.58,0.8,359.44,1.33,2.36
2022,4,3,3,0,0,0,0,0,0,0,0,6.32,2.51,4.41,6.47,78.62,0,72.54,0.97,357.69,1.59,0
2022,4,3,4,0,0,0,0,0,0,0,0,6.14,1.94,4.04,6.23,76.38,0,72.52,1.01,2.22,1.67,3.22
2022,4,3,5,0,0,0,0,0,0,0,0,5.99,1.38,3.69,5.98,74,0,72.54,1.02,7.07,1.68,6.96
2022,4,3,6,0.09,0.09,0.39,8.67,9.9,1.16,0,0.02,6.52,1.26,3.89,5.92,70.94,0,72.58,0.95,7.59,1.58,7.41
2022,4,3,7,0.63,0.62,1.48,61.38,62.1,7.62,0.07,0.35,9.91,2.1,6.01,6.47,61.62,0,72.63,0.72,319.87,1.01,324.72
2022,4,3,8,1.3,1.38,2.49,134.1,143.12,16.84,0.3,1.5,12.45,1.94,7.19,6.53,52.56,0,72.67,2.17,257.72,2.72,258.08
2022,4,3,9,1.92,2.17,3.35,210.08,235.9,27.46,0.7,3.55,14.42,2.26,8.34,6.65,46.88,0.01,72.68,3.17,246.78,3.97,246.92
2022,4,3,10,2.41,2.82,4,276.62,314.38,36.45,1.12,5.8,15.87,2.94,9.4,6.84,44.25,0,72.67,3.98,239.15,4.99,239.22
2022,4,3,11,2.69,3.24,4.39,314.4,366.17,43.27,1.47,7.52,16.75,3.78,10.26,7.2,43.88,0.01,72.64,4.66,234.21,5.89,234.29
2022,4,3,12,2.22,2.85,4.49,247.67,305.42,29.55,0.97,4.98,16.88,4.87,10.87,7.69,46.44,0.07,72.58,4.95,232.12,6.26,232.24
2022,4,3,13,1.92,2.72,4.3,209.48,290.8,25.84,0.82,4.2,16.51,5.71,11.11,8.12,50.12,0.15,72.51,4.86,231.53,6.15,231.66
2022,4,3,14,1.52,2.27,3.84,167.98,239.25,20.13,0.57,2.98,15.83,6.18,11.01,8.36,53.88,0.27,72.44,4.69,231.36,5.95,231.5
2022,4,3,15,1.15,1.65,3.13,122.17,170.35,14.3,0.34,1.67,14.67,6.49,10.58,8.54,59.38,0.39,72.39,4.17,230.4,5.28,230.47
2022,4,3,16,0.72,1.05,2.22,74.92,107.62,8.95,0.14,0.7,13.4,6.67,10.04,8.73,65.5,0.38,72.38,3.49,228.72,4.43,228.86
2022,4,3,17,0.31,0.43,1.17,31.12,44,3.97,0.02,0.12,11.91,6.8,9.36,8.79,73.12,0.3,72.38,2.66,228.1,3.42,228.05
2022,4,3,18,0.04,0.04,0.17,3.45,3.9,0.47,0,0,10.19,7.22,8.7,9.16,84.94,0.5,72.41,1.28,224.26,1.88,223.65
2022,4,3,19,0,0,0,0,0,0,0,0,9.58,7.57,8.57,9.4,91.06,0.38,72.44,0.81,223.43,1.3,223.06
2022,4,3,20,0,0,0,0,0,0,0,0,9.26,7.55,8.41,9.4,92.88,0.18,72.48,0.55,233.13,0.9,237
2022,4,3,21,0,0,0,0,0,0,0,0,8.85,7.19,8.02,9.16,93.25,0.05,72.49,0.49,262.65,0.83,270
2022,4,3,22,0,0,0,0,0,0,0,0,8.26,6.76,7.51,8.91,94.25,0.02,72.47,0.5,294.96,0.87,298.86
2022,4,3,23,0,0,0,0,0,0,0,0,7.9,6.27,7.08,8.61,93.75,0.01,72.45,0.54,319.67,0.94,322.46
2022,4,4,0,0,0,0,0,0,0,0,0,7.55,5.77,6.66,8.36,93.06,0,72.41,0.67,340.3,1.16,341.2
2022,4,4,1,0,0,0,0,0,0,0,0,7.22,5.25,6.23,8.06,92,0,72.37,0.84,350.36,1.46,351.09
2022,4,4,2,0,0,0,0,0,0,0,0,6.93,4.49,5.71,7.69,89.31,0,72.33,0.98,357.25,1.73,357.67
2022,4,4,3,0,0,0,0,0,0,0,0,6.82,3.53,5.17,7.2,84.44,0,72.3,1.03,6.53,1.78,6.28
2022,4,4,4,0,0,0,0,0,0,0,0,6.8,2.43,4.62,6.71,78.44,0,72.31,1.06,14.14,1.77,13.79
2022,4,4,5,0,0,0,0,0,0,0,0,6.81,1.24,4.02,6.16,72.19,0,72.35,1.07,18.7,1.75,18.19
2022,4,4,6,0.15,0.18,0.41,14.58,18.27,2.05,0.01,0.02,7.3,0.68,3.99,5.92,66.81,0,72.41,1.03,22.29,1.71,21.75
2022,4,4,7,1.05,1.04,1.49,114.05,115.95,14.2,0.14,0.67,10.55,2.16,6.36,6.65,60.62,0,72.47,0.98,14.37,1.41,15.42
2022,4,4,8,1.98,1.98,2.51,224.38,226.15,31.09,0.61,3,13.54,-0.26,6.64,5.55,41.44,0,72.51,1.07,282.21,1.33,281.91
